Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,3.7122962962962966,4.783133333333334,1.6851777777777779,4.668577777777778
2,00:00:00.067,3.719192592592593,4.956822222222222,1.7566222222222223,4.444133333333333
3,00:00:00.100,4.410162962962963,5.8812,2.5921333333333334,4.757155555555555
4,00:00:00.133,5.280377777777779,6.970466666666667,3.5052666666666665,5.3654
5,00:00:00.167,5.833762962962964,7.464777777777778,4.180711111111111,5.8558
6,00:00:00.200,5.829281481481481,7.793533333333333,4.321422222222222,5.372888888888889
7,00:00:00.233,5.90697037037037,7.963866666666667,4.4372,5.319844444444445
8,00:00:00.267,5.911859259259259,7.739488888888889,4.474044444444444,5.522044444444444
9,00:00:00.300,5.55082962962963,7.142777777777778,4.089133333333334,5.420577777777778
10,00:00:00.333,5.121748148148148,6.6554,3.506222222222222,5.203622222222222
11,00:00:00.367,5.093044444444445,6.393488888888889,3.606622222222222,5.279022222222222
12,00:00:00.400,7.3524518518518525,8.998711111111112,4.9043777777777775,8.154266666666667
13,00:00:00.433,5.957385185185186,7.397555555555556,4.605711111111111,5.868888888888889
14,00:00:00.467,4.837325925925926,6.321533333333333,3.548,4.642444444444444
15,00:00:00.500,4.034888888888889,5.251511111111111,2.5941111111111113,4.259044444444444
16,00:00:00.533,4.0390148148148155,5.3251333333333335,2.5038666666666667,4.288044444444444
17,00:00:00.567,3.616718518518519,4.636444444444445,2.1701111111111113,4.0436
18,00:00:00.600,3.292414814814815,4.2117555555555555,1.7144,3.951088888888889
19,00:00:00.633,2.8064814814814816,3.571822222222222,1.2761777777777779,3.5714444444444444
20,00:00:00.667,15.627259259259262,16.49831111111111,18.65668888888889,11.726777777777778
21,00:00:00.700,6.466896296296295,8.323177777777778,4.944422222222222,6.133088888888889
22,00:00:00.733,6.580814814814815,8.644933333333332,5.234577777777778,5.862933333333333
23,00:00:00.767,6.522792592592592,8.435466666666667,5.167088888888889,5.965822222222222
24,00:00:00.800,7.854459259259259,9.43351111111111,5.2988,8.831066666666667
25,00:00:00.833,6.3886370370370384,7.698511111111111,4.8742,6.5932
26,00:00:00.867,6.181874074074074,7.830266666666667,4.893888888888889,5.821466666666667
27,00:00:00.900,5.8842,7.622911111111111,4.398555555555555,5.6311333333333335
28,00:00:00.933,5.275874074074074,6.995711111111111,3.4833555555555558,5.3485555555555555
29,00:00:00.967,5.310792592592592,7.147711111111111,3.5238222222222224,5.260844444444444
30,00:00:01.000,5.549237037037037,7.451222222222222,4.053311111111111,5.143177777777778
31,00:00:01.033,5.7546,7.559088888888889,4.3764,5.328311111111111
32,00:00:01.067,5.743992592592593,7.478088888888889,4.251222222222222,5.502666666666666
33,00:00:01.100,5.5984296296296305,7.494488888888889,3.8949777777777776,5.4058222222222225
34,00:00:01.133,5.245496296296296,6.799111111111111,3.6510444444444445,5.286333333333333
35,00:00:01.167,4.8944074074074075,6.524933333333333,3.2692888888888887,4.889
36,00:00:01.200,6.340585185185184,8.152711111111111,3.2734444444444444,7.5956
37,00:00:01.233,4.960696296296296,6.250022222222222,3.1326444444444443,5.499422222222222
38,00:00:01.267,5.387059259259259,7.093066666666667,3.9248666666666665,5.143244444444444
39,00:00:01.300,5.793444444444444,7.424044444444444,4.773333333333333,5.182955555555556
40,00:00:01.333,6.1693851851851855,7.648088888888889,5.154422222222222,5.705644444444444
41,00:00:01.367,6.11791111111111,7.8699111111111115,4.914288888888889,5.569533333333333
42,00:00:01.400,5.6794518518518515,7.310866666666667,4.421711111111111,5.305777777777778
43,00:00:01.433,5.266703703703704,6.868733333333333,3.958066666666667,4.973311111111111
44,00:00:01.467,4.7135037037037035,6.381755555555555,2.967911111111111,4.790844444444445
45,00:00:01.500,3.9745777777777778,5.541888888888889,2.0566222222222224,4.325222222222222
46,00:00:01.533,4.764111111111112,6.552755555555556,3.1164666666666667,4.623111111111111
47,00:00:01.567,5.343192592592593,7.105244444444445,4.0709333333333335,4.8534
48,00:00:01.600,7.6606296296296295,9.352244444444445,5.4324666666666666,8.197177777777778
49,00:00:01.633,6.51562962962963,7.751933333333334,5.353488888888889,6.441466666666667
50,00:00:01.667,6.440296296296296,8.000622222222223,5.419422222222222,5.900844444444444
51,00:00:01.700,6.509392592592593,8.122377777777778,5.6071333333333335,5.798666666666667
52,00:00:01.733,6.30288888888889,7.891466666666667,5.083266666666667,5.933933333333333
53,00:00:01.767,15.754799999999998,16.566533333333332,17.41611111111111,13.281755555555556
54,00:00:01.800,5.838088888888888,7.0884,4.233466666666667,6.1924
55,00:00:01.833,4.9587111111111115,6.134422222222223,3.627377777777778,5.114333333333334
56,00:00:01.867,6.244251851851852,7.306733333333334,5.3520666666666665,6.073955555555556
57,00:00:01.900,6.8383925925925935,8.021933333333333,5.961533333333334,6.531711111111111
58,00:00:01.933,6.875451851851852,8.153133333333333,5.9088666666666665,6.564355555555555
59,00:00:01.967,6.656437037037037,8.310444444444444,5.477955555555556,6.1809111111111115
60,00:00:02.000,7.410992592592592,8.942311111111112,4.941688888888889,8.348977777777778
61,00:00:02.033,4.686103703703704,6.048355555555555,2.659022222222222,5.350933333333334
62,00:00:02.067,3.4338888888888888,4.542577777777778,1.7497111111111112,4.009377777777778
63,00:00:02.100,4.944259259259259,6.392266666666667,3.7021777777777776,4.738333333333333
64,00:00:02.133,5.996244444444446,7.7202222222222225,4.872866666666667,5.395644444444445
65,00:00:02.167,6.321325925925926,7.8619111111111115,5.3691555555555555,5.732911111111111
66,00:00:02.200,6.319422222222222,7.686511111111111,5.358355555555556,5.9134
67,00:00:02.233,6.039407407407407,7.2771333333333335,5.111866666666667,5.729222222222222
68,00:00:02.267,5.52682962962963,6.7276,4.474866666666666,5.3780222222222225
69,00:00:02.300,4.671622222222222,5.945222222222222,3.2226,4.847044444444444
70,00:00:02.333,3.9869777777777777,5.253266666666667,2.309311111111111,4.398355555555556
71,00:00:02.367,3.532614814814815,4.343244444444444,2.1478,4.1068
72,00:00:02.400,6.609133333333333,8.206155555555556,4.213488888888889,7.407755555555555
73,00:00:02.433,6.001348148148147,7.0986666666666665,4.958622222222222,5.946755555555556
74,00:00:02.467,6.337125925925926,7.677222222222222,5.363555555555555,5.9706
75,00:00:02.500,6.326844444444444,7.9864444444444445,5.306088888888889,5.688
76,00:00:02.533,5.900725925925926,7.501933333333334,4.883222222222222,5.3170222222222225
77,00:00:02.567,5.149814814814815,6.813977777777778,3.819777777777778,4.8156888888888885
78,00:00:02.600,4.027318518518518,5.436622222222222,2.265711111111111,4.379622222222222
79,00:00:02.633,3.5472888888888883,4.827133333333333,1.8154666666666666,3.9992666666666667
80,00:00:02.667,4.853251851851852,6.3722,3.4930222222222223,4.694533333333333
81,00:00:02.700,5.5970814814814815,7.228377777777777,4.462488888888889,5.100377777777778
82,00:00:02.733,5.838125925925926,7.266688888888889,4.917488888888889,5.3302
83,00:00:02.767,5.749466666666667,7.035466666666666,4.870444444444445,5.342488888888889
84,00:00:02.800,7.2548,8.57911111111111,5.239822222222222,7.9454666666666665
85,00:00:02.833,5.548562962962962,6.191466666666667,4.523777777777778,5.930444444444444
86,00:00:02.867,12.565525925925925,14.228266666666666,11.7476,11.720711111111111
87,00:00:02.900,4.947822222222222,6.456,2.776666666666667,5.6108
88,00:00:02.933,3.841622222222222,5.1273333333333335,1.7591777777777777,4.638355555555555
89,00:00:02.967,4.4935777777777774,6.017066666666667,2.5073777777777777,4.9562888888888885
90,00:00:03.000,5.080318518518518,6.790155555555556,3.127711111111111,5.323088888888889
91,00:00:03.033,5.412177777777778,6.955044444444445,3.5891333333333333,5.692355555555555
92,00:00:03.067,5.501037037037037,7.186222222222222,3.6975777777777776,5.619311111111111
93,00:00:03.100,5.422859259259259,6.905777777777778,3.659711111111111,5.703088888888889
94,00:00:03.133,5.2654,6.702933333333333,3.466311111111111,5.626955555555556
95,00:00:03.167,4.82877037037037,6.0395111111111115,3.118777777777778,5.328022222222223
96,00:00:03.200,6.136244444444444,7.572622222222222,3.0333555555555556,7.802755555555556
97,00:00:03.233,3.8355777777777775,4.776133333333333,1.8789333333333333,4.851666666666667
98,00:00:03.267,2.914074074074074,3.606888888888889,1.2485555555555556,3.8867777777777777
99,00:00:03.300,2.8983925925925926,3.6734444444444443,1.2197333333333333,3.802
100,00:00:03.333,3.2159629629629634,4.252888888888889,1.4668444444444444,3.9281555555555556
101,00:00:03.367,3.5921925925925926,4.706133333333334,1.8255333333333332,4.2449111111111115
102,00:00:03.400,3.832088888888889,4.9169777777777774,2.0576222222222222,4.5216666666666665
103,00:00:03.433,4.168296296296297,5.199688888888889,2.2656222222222224,5.039577777777778
104,00:00:03.467,3.975481481481482,5.054022222222223,2.1826222222222222,4.6898
105,00:00:03.500,3.9272444444444443,4.953288888888889,2.0884,4.740044444444444
106,00:00:03.533,3.66237037037037,4.6992666666666665,1.8480444444444444,4.4398
107,00:00:03.567,3.0431925925925927,3.881422222222222,1.3415555555555556,3.9066
108,00:00:03.600,4.668985185185185,5.889377777777778,1.4400222222222223,6.677555555555555
109,00:00:03.633,2.6462,2.9872444444444444,1.0593777777777778,3.891977777777778
110,00:00:03.667,3.0925851851851847,3.8702888888888887,1.5123555555555555,3.895111111111111
111,00:00:03.700,3.755266666666666,5.025444444444444,2.0004,4.2399555555555555
112,00:00:03.733,3.8308814814814816,4.960666666666667,2.233488888888889,4.298488888888889
113,00:00:03.767,3.9972666666666665,5.310133333333333,2.2730888888888887,4.4085777777777775
114,00:00:03.800,3.8973925925925923,5.076311111111111,2.267577777777778,4.348288888888889
115,00:00:03.833,4.1308,5.411666666666667,2.3274666666666666,4.653266666666667
116,00:00:03.867,4.137237037037037,5.484111111111111,2.4656,4.462
117,00:00:03.900,4.230696296296297,5.498511111111111,2.6632,4.530377777777778
118,00:00:03.933,4.675999999999999,6.113333333333333,3.045688888888889,4.868977777777777
